time,protocol,node_id,candidate_parent,energy_ratio,distance_ratio,queue_ratio,link_quality,Q_value,state_value,selection_value,selected_parent,reward,updated_Q_value,decision_mode
0.00000,Traditional RPL,26,0,1.00000,0.00000,1.00000,0.05000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,26,6,0.97774,0.28141,0.20000,0.61859,,0.71859,0.71859,0,,,traditional
0.00000,Traditional RPL,26,18,0.98986,0.13214,0.10000,0.81786,,0.86786,0.86786,0,,,traditional
0.00000,Traditional RPL,26,25,0.97121,0.19152,0.50000,0.55848,,0.80848,0.80848,0,,,traditional
0.00000,Traditional RPL,27,17,1.00000,0.47450,0.00000,0.52550,,0.52550,0.52550,29,,,traditional
0.00000,Traditional RPL,27,29,1.00000,0.40081,0.00000,0.59919,,0.59919,0.59919,29,,,traditional
0.00000,Traditional RPL,29,6,0.97774,0.28141,0.20000,0.61859,,0.71859,0.71859,18,,,traditional
0.00000,Traditional RPL,29,9,0.99369,0.29347,0.00000,0.70653,,0.70653,0.70653,18,,,traditional
0.00000,Traditional RPL,29,18,0.98986,0.13214,0.10000,0.81786,,0.86786,0.86786,18,,,traditional
0.00000,Traditional RPL,29,30,1.00000,0.35753,0.00000,0.64247,,0.64247,0.64247,18,,,traditional
0.00000,Traditional RPL,18,0,1.00000,0.00000,1.00000,0.05000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,28,0,1.00000,0.00000,1.00000,0.05000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,28,8,0.96420,0.15648,0.50000,0.59352,,0.84352,0.84352,0,,,traditional
0.00000,Traditional RPL,28,18,0.98379,0.13214,0.20000,0.76786,,0.86786,0.86786,0,,,traditional
0.00000,Traditional RPL,29,6,0.97774,0.28141,0.20000,0.61859,,0.71859,0.71859,18,,,traditional
0.00000,Traditional RPL,29,9,0.99369,0.29347,0.00000,0.70653,,0.70653,0.70653,18,,,traditional
0.00000,Traditional RPL,29,18,0.98379,0.13214,0.20000,0.76786,,0.86786,0.86786,18,,,traditional
0.00000,Traditional RPL,29,30,1.00000,0.35753,0.00000,0.64247,,0.64247,0.64247,18,,,traditional
0.00000,Traditional RPL,18,0,1.00000,0.00000,1.00000,0.05000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,30,2,0.99262,0.35668,0.00000,0.64332,,0.64332,0.64332,18,,,traditional
0.00000,Traditional RPL,30,6,0.97774,0.28141,0.20000,0.61859,,0.71859,0.71859,18,,,traditional
0.00000,Traditional RPL,30,9,0.99369,0.29347,0.00000,0.70653,,0.70653,0.70653,18,,,traditional
0.00000,Traditional RPL,30,18,0.97772,0.13214,0.30000,0.71786,,0.86786,0.86786,18,,,traditional
0.00000,Traditional RPL,30,22,0.99263,0.34409,0.00000,0.65591,,0.65591,0.65591,18,,,traditional
0.00000,Traditional RPL,30,26,0.95797,0.31818,0.40000,0.48182,,0.68182,0.68182,18,,,traditional
0.00000,Traditional RPL,18,0,1.00000,0.00000,1.00000,0.05000,,1.00000,1.00000,0,,,traditional
5.00000,Traditional RPL,1,5,0.99536,0.47664,0.00000,0.52336,,0.52336,0.52336,25,,,traditional
5.00000,Traditional RPL,1,12,0.99638,0.37976,0.00000,0.62024,,0.62024,0.62024,25,,,traditional
5.00000,Traditional RPL,1,25,0.97121,0.19152,0.17500,0.72098,,0.80848,0.80848,25,,,traditional
5.00000,Traditional RPL,1,26,0.95797,0.31818,0.07500,0.64432,,0.68182,0.68182,25,,,traditional
5.00000,Traditional RPL,25,0,1.00000,0.00000,1.00000,0.05000,,1.00000,1.00000,0,,,traditional
5.00000,Traditional RPL,25,8,0.96420,0.15648,0.17500,0.75602,,0.84352,0.84352,0,,,traditional
5.00000,Traditional RPL,25,18,0.97165,0.13214,0.07500,0.83036,,0.86786,0.86786,0,,,traditional
5.00000,Traditional RPL,25,28,0.99540,0.18391,0.00000,0.81609,,0.81609,0.81609,0,,,traditional
5.00000,Traditional RPL,2,6,0.97774,0.28141,0.00000,0.71859,,0.71859,0.71859,18,,,traditional
5.00000,Traditional RPL,2,18,0.97165,0.13214,0.07500,0.83036,,0.86786,0.86786,18,,,traditional
5.00000,Traditional RPL,2,22,0.99263,0.34409,0.00000,0.65591,,0.65591,0.65591,18,,,traditional
5.00000,Traditional RPL,2,26,0.95797,0.31818,0.07500,0.64432,,0.68182,0.68182,18,,,traditional
5.00000,Traditional RPL,18,0,1.00000,0.00000,1.00000,0.05000,,1.00000,1.00000,0,,,traditional
5.00000,Traditional RPL,3,0,1.00000,0.00000,1.00000,0.05000,,1.00000,1.00000,0,,,traditional
5.00000,Traditional RPL,3,8,0.96420,0.15648,0.17500,0.75602,,0.84352,0.84352,0,,,traditional
5.00000,Traditional RPL,3,25,0.96451,0.19152,0.27500,0.67098,,0.80848,0.80848,0,,,traditional
5.00000,Traditional RPL,3,28,0.99540,0.18391,0.00000,0.81609,,0.81609,0.81609,0,,,traditional
5.00000,Traditional RPL,4,1,0.97619,0.49503,0.00000,0.50497,,0.50497,0.50497,13,,,traditional
5.00000,Traditional RPL,4,13,0.98420,0.48554,0.00000,0.51446,,0.51446,0.51446,13,,,traditional
5.00000,Traditional RPL,4,21,0.99302,0.49812,0.00000,0.50188,,0.50188,0.50188,13,,,traditional
5.00000,Traditional RPL,5,2,0.98524,0.35668,0.00000,0.64332,,0.64332,0.64332,26,,,traditional
5.00000,Traditional RPL,5,12,0.99638,0.37976,0.00000,0.62024,,0.62024,0.62024,26,,,traditional
5.00000,Traditional RPL,5,22,0.99263,0.34409,0.00000,0.65591,,0.65591,0.65591,26,,,traditional
5.00000,Traditional RPL,5,26,0.95797,0.31818,0.07500,0.64432,,0.68182,0.68182,26,,,traditional
5.00000,Traditional RPL,26,0,1.00000,0.00000,1.00000,0.05000,,1.00000,1.00000,0,,,traditional
5.00000,Traditional RPL,26,6,0.97774,0.28141,0.00000,0.71859,,0.71859,0.71859,0,,,traditional
5.00000,Traditional RPL,26,18,0.96558,0.13214,0.17500,0.78036,,0.86786,0.86786,0,,,traditional
5.00000,Traditional RPL,26,25,0.96451,0.19152,0.27500,0.67098,,0.80848,0.80848,0,,,traditional
5.00000,Traditional RPL,6,0,1.00000,0.00000,1.00000,0.05000,,1.00000,1.00000,0,,,traditional
5.00000,Traditional RPL,6,18,0.96558,0.13214,0.17500,0.78036,,0.86786,0.86786,0,,,traditional
5.00000,Traditional RPL,7,2,0.98524,0.35668,0.00000,0.64332,,0.64332,0.64332,26,,,traditional
5.00000,Traditional RPL,7,12,0.99638,0.37976,0.00000,0.62024,,0.62024,0.62024,26,,,traditional
5.00000,Traditional RPL,7,22,0.99263,0.34409,0.00000,0.65591,,0.65591,0.65591,26,,,traditional
5.00000,Traditional RPL,7,23,0.99344,0.49797,0.00000,0.50203,,0.50203,0.50203,26,,,traditional
5.00000,Traditional RPL,7,24,0.99436,0.45661,0.00000,0.54339,,0.54339,0.54339,26,,,traditional
5.00000,Traditional RPL,7,26,0.94917,0.31818,0.17500,0.59432,,0.68182,0.68182,26,,,traditional
5.00000,Traditional RPL,7,30,0.99402,0.35753,0.00000,0.64247,,0.64247,0.64247,26,,,traditional
5.00000,Traditional RPL,26,0,1.00000,0.00000,1.00000,0.05000,,1.00000,1.00000,0,,,traditional
5.00000,Traditional RPL,26,6,0.97166,0.28141,0.00000,0.71859,,0.71859,0.71859,0,,,traditional
5.00000,Traditional RPL,26,18,0.96558,0.13214,0.17500,0.78036,,0.86786,0.86786,0,,,traditional
5.00000,Traditional RPL,26,25,0.96451,0.19152,0.27500,0.67098,,0.80848,0.80848,0,,,traditional
5.00000,Traditional RPL,8,0,1.00000,0.00000,1.00000,0.05000,,1.00000,1.00000,0,,,traditional
5.00000,Traditional RPL,8,18,0.96558,0.13214,0.17500,0.78036,,0.86786,0.86786,0,,,traditional
5.00000,Traditional RPL,9,0,1.00000,0.00000,1.00000,0.05000,,1.00000,1.00000,0,,,traditional
5.00000,Traditional RPL,9,6,0.97166,0.28141,0.00000,0.71859,,0.71859,0.71859,0,,,traditional
5.00000,Traditional RPL,9,18,0.96558,0.13214,0.17500,0.78036,,0.86786,0.86786,0,,,traditional
5.00000,Traditional RPL,10,1,0.97619,0.49503,0.00000,0.50497,,0.50497,0.50497,1,,,traditional
5.00000,Traditional RPL,10,4,0.98865,0.56958,0.00000,0.43042,,0.43042,0.43042,1,,,traditional
5.00000,Traditional RPL,10,21,0.99302,0.49812,0.00000,0.50188,,0.50188,0.50188,1,,,traditional
