time,total_energy_consumed,average_remaining_energy,alive_nodes,active_sensors,dead_nodes,generated_packets,delivered_packets,lost_packets,packet_delivery_ratio,average_delay,communication_overhead,parent_changes,current_packet_id,current_source_sensor_id,current_temperature,selected_route_path,last_packet_status
99.0,11.39826224707663,1.6200579250974456,30,29,0,600,110,490,0.18333333333333332,28.32609794327342,869,40,,,,,
100.0,11.96270364817535,1.6012432117274884,30,29,0,630,113,517,0.17936507936507937,29.00305886654031,912,43,RL-00630,30,25.970510689286748,30 -> 18 -> 0,lost
101.0,11.96270364817535,1.6012432117274884,30,29,0,630,113,517,0.17936507936507937,29.00305886654031,912,43,,,,,
102.0,11.96270364817535,1.6012432117274884,30,29,0,630,113,517,0.17936507936507937,29.00305886654031,912,43,,,,,
103.0,11.96270364817535,1.6012432117274884,30,29,0,630,113,517,0.17936507936507937,29.00305886654031,912,43,,,,,
104.0,11.96270364817535,1.6012432117274884,30,29,0,630,113,517,0.17936507936507937,29.00305886654031,912,43,,,,,
105.0,12.480048888504506,1.5839983703831833,30,29,0,660,118,542,0.1787878787878788,30.25836116180226,951,44,RL-00660,30,30.63998198793869,30 -> 18,lost
106.0,12.480048888504506,1.5839983703831833,30,29,0,660,118,542,0.1787878787878788,30.25836116180226,951,44,,,,,
107.0,12.480048888504506,1.5839983703831833,30,29,0,660,118,542,0.1787878787878788,30.25836116180226,951,44,,,,,
108.0,12.480048888504506,1.5839983703831833,30,29,0,660,118,542,0.1787878787878788,30.25836116180226,951,44,,,,,
109.0,12.480048888504506,1.5839983703831833,30,29,0,660,118,542,0.1787878787878788,30.25836116180226,951,44,,,,,
110.0,13.01973682214848,1.5660087725950507,30,29,0,690,120,570,0.17391304347826086,30.832221809105558,991,45,RL-00690,30,24.62810723081644,30 -> 18,lost
111.0,13.01973682214848,1.5660087725950507,30,29,0,690,120,570,0.17391304347826086,30.832221809105558,991,45,,,,,
112.0,13.01973682214848,1.5660087725950507,30,29,0,690,120,570,0.17391304347826086,30.832221809105558,991,45,,,,,
113.0,13.01973682214848,1.5660087725950507,30,29,0,690,120,570,0.17391304347826086,30.832221809105558,991,45,,,,,
114.0,13.01973682214848,1.5660087725950507,30,29,0,690,120,570,0.17391304347826086,30.832221809105558,991,45,,,,,
115.0,13.546212804927265,1.548459573169091,30,29,0,720,124,596,0.17222222222222222,31.82746985020942,1031,46,RL-00720,30,31.642430377581082,30 -> 18,lost
116.0,13.546212804927265,1.548459573169091,30,29,0,720,124,596,0.17222222222222222,31.82746985020942,1031,46,,,,,
117.0,13.546212804927265,1.548459573169091,30,29,0,720,124,596,0.17222222222222222,31.82746985020942,1031,46,,,,,
118.0,13.546212804927265,1.548459573169091,30,29,0,720,124,596,0.17222222222222222,31.82746985020942,1031,46,,,,,
119.0,13.546212804927265,1.548459573169091,30,29,0,720,124,596,0.17222222222222222,31.82746985020942,1031,46,,,,,
120.0,14.031702327782156,1.532276589073928,30,29,0,750,129,621,0.172,32.97719127450648,1067,48,RL-00750,30,27.18618894524725,30 -> 18,lost
121.0,14.031702327782156,1.532276589073928,30,29,0,750,129,621,0.172,32.97719127450648,1067,48,,,,,
122.0,14.031702327782156,1.532276589073928,30,29,0,750,129,621,0.172,32.97719127450648,1067,48,,,,,
123.0,14.031702327782156,1.532276589073928,30,29,0,750,129,621,0.172,32.97719127450648,1067,48,,,,,
124.0,14.031702327782156,1.532276589073928,30,29,0,750,129,621,0.172,32.97719127450648,1067,48,,,,,
125.0,14.614429974838515,1.5128523341720495,30,29,0,780,135,645,0.17307692307692307,34.45939018082473,1111,49,RL-00780,30,21.301066547725338,30 -> 18 -> 0,lost
126.0,14.614429974838515,1.5128523341720495,30,29,0,780,135,645,0.17307692307692307,34.45939018082473,1111,49,,,,,
127.0,14.614429974838515,1.5128523341720495,30,29,0,780,135,645,0.17307692307692307,34.45939018082473,1111,49,,,,,
128.0,14.614429974838515,1.5128523341720495,30,29,0,780,135,645,0.17307692307692307,34.45939018082473,1111,49,,,,,
129.0,14.614429974838515,1.5128523341720495,30,29,0,780,135,645,0.17307692307692307,34.45939018082473,1111,49,,,,,
130.0,15.130652262032136,1.4956449245989287,30,29,0,810,138,672,0.17037037037037037,35.12103387254594,1149,51,RL-00810,30,32.24679838899696,30 -> 18 -> 0,lost
131.0,15.130652262032136,1.4956449245989287,30,29,0,810,138,672,0.17037037037037037,35.12103387254594,1149,51,,,,,
132.0,15.130652262032136,1.4956449245989287,30,29,0,810,138,672,0.17037037037037037,35.12103387254594,1149,51,,,,,
133.0,15.130652262032136,1.4956449245989287,30,29,0,810,138,672,0.17037037037037037,35.12103387254594,1149,51,,,,,
134.0,15.130652262032136,1.4956449245989287,30,29,0,810,138,672,0.17037037037037037,35.12103387254594,1149,51,,,,,
135.0,15.669066774817722,1.4776977741727426,30,29,0,840,144,696,0.17142857142857143,36.553266351884076,1189,52,RL-00840,30,24.52646652716305,30 -> 18,lost
136.0,15.669066774817722,1.4776977741727426,30,29,0,840,144,696,0.17142857142857143,36.553266351884076,1189,52,,,,,
137.0,15.669066774817722,1.4776977741727426,30,29,0,840,144,696,0.17142857142857143,36.553266351884076,1189,52,,,,,
138.0,15.669066774817722,1.4776977741727426,30,29,0,840,144,696,0.17142857142857143,36.553266351884076,1189,52,,,,,
139.0,15.669066774817722,1.4776977741727426,30,29,0,840,144,696,0.17142857142857143,36.553266351884076,1189,52,,,,,
140.0,16.179113104096487,1.4606962298634505,30,29,0,870,147,723,0.16896551724137931,37.22721329708372,1226,53,RL-00870,30,23.92342441078029,30 -> 18,lost
141.0,16.179113104096487,1.4606962298634505,30,29,0,870,147,723,0.16896551724137931,37.22721329708372,1226,53,,,,,
142.0,16.179113104096487,1.4606962298634505,30,29,0,870,147,723,0.16896551724137931,37.22721329708372,1226,53,,,,,
143.0,16.179113104096487,1.4606962298634505,30,29,0,870,147,723,0.16896551724137931,37.22721329708372,1226,53,,,,,
144.0,16.179113104096487,1.4606962298634505,30,29,0,870,147,723,0.16896551724137931,37.22721329708372,1226,53,,,,,
145.0,16.684289056996555,1.4438570314334482,30,29,0,900,152,748,0.1688888888888889,38.35457470178493,1264,55,RL-00900,30,21.444708353771126,30 -> 18,lost
146.0,16.684289056996555,1.4438570314334482,30,29,0,900,152,748,0.1688888888888889,38.35457470178493,1264,55,,,,,
147.0,16.684289056996555,1.4438570314334482,30,29,0,900,152,748,0.1688888888888889,38.35457470178493,1264,55,,,,,
148.0,16.684289056996555,1.4438570314334482,30,29,0,900,152,748,0.1688888888888889,38.35457470178493,1264,55,,,,,
149.0,16.684289056996555,1.4438570314334482,30,29,0,900,152,748,0.1688888888888889,38.35457470178493,1264,55,,,,,
150.0,17.23940173633821,1.425353275455393,30,29,0,930,160,770,0.17204301075268819,40.23445361208626,1306,56,RL-00930,30,34.88878817676196,30 -> 18,lost
151.0,17.23940173633821,1.425353275455393,30,29,0,930,160,770,0.17204301075268819,40.23445361208626,1306,56,,,,,
152.0,17.23940173633821,1.425353275455393,30,29,0,930,160,770,0.17204301075268819,40.23445361208626,1306,56,,,,,
153.0,17.23940173633821,1.425353275455393,30,29,0,930,160,770,0.17204301075268819,40.23445361208626,1306,56,,,,,
154.0,17.23940173633821,1.425353275455393,30,29,0,930,160,770,0.17204301075268819,40.23445361208626,1306,56,,,,,
155.0,17.750312947658998,1.4083229017447,30,29,0,960,163,797,0.16979166666666667,40.923574097753395,1345,57,RL-00960,30,24.809977330626314,30 -> 18 -> 0,lost
156.0,17.750312947658998,1.4083229017447,30,29,0,960,163,797,0.16979166666666667,40.923574097753395,1345,57,,,,,
157.0,17.750312947658998,1.4083229017447,30,29,0,960,163,797,0.16979166666666667,40.923574097753395,1345,57,,,,,
158.0,17.750312947658998,1.4083229017447,30,29,0,960,163,797,0.16979166666666667,40.923574097753395,1345,57,,,,,
159.0,17.750312947658998,1.4083229017447,30,29,0,960,163,797,0.16979166666666667,40.923574097753395,1345,57,,,,,
160.0,18.26522057116641,1.391159314294453,30,29,0,990,166,824,0.16767676767676767,41.68137113160736,1383,58,RL-00990,30,31.58513348693648,30 -> 18,lost
161.0,18.26522057116641,1.391159314294453,30,29,0,990,166,824,0.16767676767676767,41.68137113160736,1383,58,,,,,
162.0,18.26522057116641,1.391159314294453,30,29,0,990,166,824,0.16767676767676767,41.68137113160736,1383,58,,,,,
163.0,18.26522057116641,1.391159314294453,30,29,0,990,166,824,0.16767676767676767,41.68137113160736,1383,58,,,,,
